library	symbol	class
libPKA	pka_add	submit
libPKA	pka_add_subtract	submit
libPKA	pka_avail_desc_count	query
libPKA	pka_dev_close_ring	lifecycle
libPKA	pka_dev_get_ring_info	query
libPKA	pka_dev_has_avail_ring	poll
libPKA	pka_dev_mmap_ring	lifecycle
libPKA	pka_dev_munmap_ring	lifecycle
libPKA	pka_dev_open_ring	lifecycle
libPKA	pka_dh	submit
libPKA	pka_divide	submit
libPKA	pka_dsa_signature_generate	submit
libPKA	pka_dsa_signature_verify	submit
libPKA	pka_ecc_pt_add	submit
libPKA	pka_ecc_pt_mult	submit
libPKA	pka_ecdh	submit
libPKA	pka_ecdsa_signature_generate	submit
libPKA	pka_ecdsa_signature_verify	submit
libPKA	pka_get_rand_bytes	submit
libPKA	pka_get_result	query
libPKA	pka_get_result_by_user_data	query
libPKA	pka_get_rings_bitmask	query
libPKA	pka_get_rings_byte_order	query
libPKA	pka_get_rings_count	query
libPKA	pka_has_avail_result	poll
libPKA	pka_init_global	lifecycle
libPKA	pka_init_local	lifecycle
libPKA	pka_mem_alloc	lifecycle
libPKA	pka_mem_create	lifecycle
libPKA	pka_mem_free	lifecycle
libPKA	pka_mem_is_full	capability
libPKA	pka_mem_largest_chunk_size	query
libPKA	pka_mem_reset	lifecycle
libPKA	pka_modular_exp	submit
libPKA	pka_modular_exp_crt	submit
libPKA	pka_modular_inverse	submit
libPKA	pka_modulo	submit
libPKA	pka_mont_ecdh	submit
libPKA	pka_mont_ecdh_mult	submit
libPKA	pka_multiply	submit
libPKA	pka_queue_cmd_dequeue	poll
libPKA	pka_queue_cmd_enqueue	submit
libPKA	pka_queue_create	lifecycle
libPKA	pka_queue_dump	query
libPKA	pka_queue_free	lifecycle
libPKA	pka_queue_get_memsize	query
libPKA	pka_queue_load_cmd_desc	submit
libPKA	pka_queue_rslt_dequeue_by_user_data	poll
libPKA	pka_queue_rslt_enqueue	submit
libPKA	pka_queue_set_cmd_desc	query
libPKA	pka_queue_set_rslt_desc	query
libPKA	pka_request_count	query
libPKA	pka_ring_dequeue_rslt_desc	poll
libPKA	pka_ring_dump	query
libPKA	pka_ring_enqueue_cmd_desc	submit
libPKA	pka_ring_free	lifecycle
libPKA	pka_ring_get_result	query
libPKA	pka_ring_has_available_room	poll
libPKA	pka_ring_has_ready_rslt	poll
libPKA	pka_ring_lookup	query
libPKA	pka_ring_pop_tag	query
libPKA	pka_ring_push_tag	query
libPKA	pka_ring_results_len	query
libPKA	pka_ring_set_cmd_desc	construct
libPKA	pka_rsa	submit
libPKA	pka_rsa_crt	submit
libPKA	pka_shift_left	submit
libPKA	pka_shift_right	submit
libPKA	pka_stats_print	query
libPKA	pka_subtract	submit
libPKA	pka_term_global	lifecycle
libPKA	pka_term_local	lifecycle
libPKA	pka_try_acquire_lock	poll
libPKA	pka_try_release_lock	poll
libPKA	pka_wait	poll
libdoca_aes_gcm	doca_aes_gcm_as_ctx	query
libdoca_aes_gcm	doca_aes_gcm_cap_get_max_num_tasks	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_get_max_buf_size	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_get_max_iv_len	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_get_max_list_buf_num_elem	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_is_key_type_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_is_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_is_tag_128_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_decrypt_is_tag_96_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_get_max_buf_size	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_get_max_iv_len	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_get_max_list_buf_num_elem	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_is_key_type_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_is_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_is_tag_128_supported	capability
libdoca_aes_gcm	doca_aes_gcm_cap_task_encrypt_is_tag_96_supported	capability
libdoca_aes_gcm	doca_aes_gcm_create	lifecycle
libdoca_aes_gcm	doca_aes_gcm_destroy	lifecycle
libdoca_aes_gcm	doca_aes_gcm_key_create	lifecycle
libdoca_aes_gcm	doca_aes_gcm_key_destroy	lifecycle
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_alloc_init	construct
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_as_task	construct
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_aad_size	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_dst	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_iv	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_key	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_src	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_get_tag_size	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_aad_size	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_conf	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_dst	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_iv	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_key	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_src	query
libdoca_aes_gcm	doca_aes_gcm_task_decrypt_set_tag_size	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_alloc_init	construct
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_as_task	construct
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_aad_size	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_dst	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_iv	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_key	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_src	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_get_tag_size	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_aad_size	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_conf	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_dst	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_iv	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_key	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_src	query
libdoca_aes_gcm	doca_aes_gcm_task_encrypt_set_tag_size	query
libdoca_aes_gcm	priv_doca_aes_gcm_disable_umr	lifecycle
libdoca_aes_gcm	priv_doca_aes_gcm_get_log_num_qps	query
libdoca_aes_gcm	priv_doca_aes_gcm_get_log_qp_depth	query
libdoca_aes_gcm	priv_doca_aes_gcm_get_num_wqes_per_task	query
libdoca_aes_gcm	priv_doca_aes_gcm_set_log_num_qps	query
libdoca_aes_gcm	priv_doca_aes_gcm_set_log_qp_depth	query
libdoca_apsh	__doca_apsh_attst_info_get	internal
libdoca_apsh	__doca_apsh_container_info_get	internal
libdoca_apsh	__doca_apsh_envar_info_get	internal
libdoca_apsh	__doca_apsh_handle_info_get	internal
libdoca_apsh	__doca_apsh_injection_detect_info_get	internal
libdoca_apsh	__doca_apsh_interface_info_get	internal
libdoca_apsh	__doca_apsh_ldrmodule_info_get	internal
libdoca_apsh	__doca_apsh_lib_info_get	internal
libdoca_apsh	__doca_apsh_module_info_get	internal
libdoca_apsh	__doca_apsh_netscan_info_get	internal
libdoca_apsh	__doca_apsh_privilege_info_get	internal
libdoca_apsh	__doca_apsh_proc_file_details_info_get	internal
libdoca_apsh	__doca_apsh_process_info_get	internal
libdoca_apsh	__doca_apsh_process_parameters_info_get	internal
libdoca_apsh	__doca_apsh_sid_info_get	internal
libdoca_apsh	__doca_apsh_sys_config	internal
libdoca_apsh	__doca_apsh_thread_info_get	internal
libdoca_apsh	__doca_apsh_vad_info_get	internal
libdoca_apsh	__doca_apsh_yara_info_get	internal
libdoca_apsh	__priv_apsh_service_attestation_info_get	internal
libdoca_apsh	__priv_apsh_service_lsof_info_get	internal
libdoca_apsh	__priv_apsh_service_netscan_info_get	internal
libdoca_apsh	__priv_apsh_service_process_info_get	internal
libdoca_apsh	__priv_apsh_service_thread_info_get	internal
libdoca_apsh	__priv_apsh_service_vma_info_get	internal
libdoca_apsh	doca_apsh_attestation_free	lifecycle
libdoca_apsh	doca_apsh_attestation_get	query
libdoca_apsh	doca_apsh_attst_refresh	query
libdoca_apsh	doca_apsh_container_processes_get	query
libdoca_apsh	doca_apsh_containers_free	lifecycle
libdoca_apsh	doca_apsh_containers_get	query
libdoca_apsh	doca_apsh_create	lifecycle
libdoca_apsh	doca_apsh_destroy	lifecycle
libdoca_apsh	doca_apsh_dma_dev_set	query
libdoca_apsh	doca_apsh_envars_free	lifecycle
libdoca_apsh	doca_apsh_envars_get	query
libdoca_apsh	doca_apsh_handles_free	lifecycle
libdoca_apsh	doca_apsh_handles_get	query
libdoca_apsh	doca_apsh_injection_detect_free	lifecycle
libdoca_apsh	doca_apsh_injection_detect_get	query
libdoca_apsh	doca_apsh_interfaces_free	lifecycle
libdoca_apsh	doca_apsh_interfaces_get	query
libdoca_apsh	doca_apsh_ldrmodules_free	lifecycle
libdoca_apsh	doca_apsh_ldrmodules_get	query
libdoca_apsh	doca_apsh_libs_free	lifecycle
libdoca_apsh	doca_apsh_libs_get	query
libdoca_apsh	doca_apsh_module_free	lifecycle
libdoca_apsh	doca_apsh_modules_get	query
libdoca_apsh	doca_apsh_netscan_free	lifecycle
libdoca_apsh	doca_apsh_netscan_get	query
libdoca_apsh	doca_apsh_privileges_free	lifecycle
libdoca_apsh	doca_apsh_privileges_get	query
libdoca_apsh	doca_apsh_proc_files_details_free	lifecycle
libdoca_apsh	doca_apsh_proc_files_details_get	query
libdoca_apsh	doca_apsh_process_netscan_get	query
libdoca_apsh	doca_apsh_process_parameters_free	lifecycle
libdoca_apsh	doca_apsh_process_parameters_get	query
libdoca_apsh	doca_apsh_processes_free	lifecycle
libdoca_apsh	doca_apsh_processes_get	query
libdoca_apsh	doca_apsh_sids_free	lifecycle
libdoca_apsh	doca_apsh_sids_get	query
libdoca_apsh	doca_apsh_start	lifecycle
libdoca_apsh	doca_apsh_sys_dev_set	query
libdoca_apsh	doca_apsh_sys_kpgd_file_set	query
libdoca_apsh	doca_apsh_sys_mem_region_set	query
libdoca_apsh	doca_apsh_sys_os_symbol_map_folder_set	query
libdoca_apsh	doca_apsh_sys_os_symbol_map_set	query
libdoca_apsh	doca_apsh_sys_os_type_set	query
libdoca_apsh	doca_apsh_sys_set_scan_window_size	query
libdoca_apsh	doca_apsh_sys_set_scan_window_step	query
libdoca_apsh	doca_apsh_system_create	lifecycle
libdoca_apsh	doca_apsh_system_destroy	lifecycle
libdoca_apsh	doca_apsh_system_start	lifecycle
libdoca_apsh	doca_apsh_threads_free	lifecycle
libdoca_apsh	doca_apsh_threads_get	query
libdoca_apsh	doca_apsh_vads_free	lifecycle
libdoca_apsh	doca_apsh_vads_get	query
libdoca_apsh	doca_apsh_yara_free	lifecycle
libdoca_apsh	doca_apsh_yara_get	query
libdoca_apsh	priv_apsh_service_attestation	internal
libdoca_apsh	priv_apsh_service_attestation_free	lifecycle
libdoca_apsh	priv_apsh_service_attestation_properties	query
libdoca_apsh	priv_apsh_service_attestation_singular_free	lifecycle
libdoca_apsh	priv_apsh_service_lsof	internal
libdoca_apsh	priv_apsh_service_lsof_free	lifecycle
libdoca_apsh	priv_apsh_service_lsof_properties	query
libdoca_apsh	priv_apsh_service_lsof_singular_free	lifecycle
libdoca_apsh	priv_apsh_service_netscan	internal
libdoca_apsh	priv_apsh_service_netscan_free	lifecycle
libdoca_apsh	priv_apsh_service_netscan_properties	query
libdoca_apsh	priv_apsh_service_netscan_singular_free	lifecycle
libdoca_apsh	priv_apsh_service_process	internal
libdoca_apsh	priv_apsh_service_process_free	lifecycle
libdoca_apsh	priv_apsh_service_process_properties	query
libdoca_apsh	priv_apsh_service_process_singular_free	lifecycle
libdoca_apsh	priv_apsh_service_thread	internal
libdoca_apsh	priv_apsh_service_thread_free	lifecycle
libdoca_apsh	priv_apsh_service_thread_singular_free	lifecycle
libdoca_apsh	priv_apsh_service_vma	internal
libdoca_apsh	priv_apsh_service_vma_free	lifecycle
libdoca_apsh	priv_apsh_service_vma_properties	query
libdoca_apsh	priv_apsh_service_vma_singular_free	lifecycle
libdoca_apsh	priv_doca_apsh_os_banner	internal
libdoca_apsh	priv_doca_apsh_sys_callback_set	query
libdoca_apsh	priv_doca_apsh_system_start_internal	lifecycle
libdoca_apsh	priv_doca_apsh_vaddump_get	query
libdoca_apsh	priv_doca_apsh_yara_get	query
libdoca_apsh	priv_doca_apsh_yara_refresh	internal
libdoca_apsh	priv_doca_telemetry_fwctl_close	lifecycle
libdoca_apsh	priv_doca_telemetry_fwctl_dev_open	lifecycle
libdoca_apsh	priv_doca_telemetry_fwctl_open_by_devinfo	lifecycle
libdoca_apsh	priv_doca_telemetry_fwctl_query_hca_caps_by_opmod	capability
libdoca_apsh	priv_doca_telemetry_fwctl_send_prm_cmd	internal
libdoca_argp	doca_argp_cmd_create	lifecycle
libdoca_argp	doca_argp_cmd_destroy	lifecycle
libdoca_argp	doca_argp_cmd_register_cmd	lifecycle
libdoca_argp	doca_argp_cmd_register_param	lifecycle
libdoca_argp	doca_argp_cmd_set_callback	query
libdoca_argp	doca_argp_cmd_set_description	query
libdoca_argp	doca_argp_cmd_set_hidden	query
libdoca_argp	doca_argp_cmd_set_name	query
libdoca_argp	doca_argp_destroy	lifecycle
libdoca_argp	doca_argp_disable_logger_callback	lifecycle
libdoca_argp	doca_argp_get_log_level	query
libdoca_argp	doca_argp_get_sdk_log_level	query
libdoca_argp	doca_argp_init	lifecycle
libdoca_argp	doca_argp_param_create	lifecycle
libdoca_argp	doca_argp_param_destroy	lifecycle
libdoca_argp	doca_argp_param_set_arguments	query
libdoca_argp	doca_argp_param_set_callback	query
libdoca_argp	doca_argp_param_set_cli_only	query
libdoca_argp	doca_argp_param_set_description	query
libdoca_argp	doca_argp_param_set_hidden	query
libdoca_argp	doca_argp_param_set_inherited	query
libdoca_argp	doca_argp_param_set_long_name	query
libdoca_argp	doca_argp_param_set_mandatory	query
libdoca_argp	doca_argp_param_set_multiplicity	query
libdoca_argp	doca_argp_param_set_short_name	query
libdoca_argp	doca_argp_param_set_singular	query
libdoca_argp	doca_argp_param_set_type	query
libdoca_argp	doca_argp_register_cmd	lifecycle
libdoca_argp	doca_argp_register_logger_callback	lifecycle
libdoca_argp	doca_argp_register_param	lifecycle
libdoca_argp	doca_argp_register_validation_callback	lifecycle
libdoca_argp	doca_argp_register_version_callback	lifecycle
libdoca_argp	doca_argp_set_dpdk_program	query
libdoca_argp	doca_argp_start	lifecycle
libdoca_argp	doca_argp_usage	query
libdoca_comch	doca_comch_cap_client_is_supported	capability
libdoca_comch	doca_comch_cap_get_max_clients	capability
libdoca_comch	doca_comch_cap_get_max_msg_size	capability
libdoca_comch	doca_comch_cap_get_max_name_len	capability
libdoca_comch	doca_comch_cap_get_max_recv_queue_size	capability
libdoca_comch	doca_comch_cap_get_max_send_tasks	capability
libdoca_comch	doca_comch_cap_server_is_supported	capability
libdoca_comch	doca_comch_client_as_ctx	query
libdoca_comch	doca_comch_client_create	lifecycle
libdoca_comch	doca_comch_client_destroy	lifecycle
libdoca_comch	doca_comch_client_event_consumer_register	lifecycle
libdoca_comch	doca_comch_client_event_msg_recv_register	lifecycle
libdoca_comch	doca_comch_client_get_client_ctx	query
libdoca_comch	doca_comch_client_get_connection	connect
libdoca_comch	doca_comch_client_get_device	query
libdoca_comch	doca_comch_client_get_max_msg_size	capability
libdoca_comch	doca_comch_client_get_recv_queue_size	query
libdoca_comch	doca_comch_client_set_max_msg_size	query
libdoca_comch	doca_comch_client_set_recv_queue_size	query
libdoca_comch	doca_comch_client_task_send_alloc_init	construct
libdoca_comch	doca_comch_client_task_send_set_conf	query
libdoca_comch	doca_comch_connection_get_counter	connect
libdoca_comch	doca_comch_connection_get_user_data	connect
libdoca_comch	doca_comch_connection_set_user_data	connect
libdoca_comch	doca_comch_connection_update_info	connect
libdoca_comch	doca_comch_consumer_as_ctx	query
libdoca_comch	doca_comch_consumer_cap_get_max_buf_list_len	capability
libdoca_comch	doca_comch_consumer_cap_get_max_buf_size	capability
libdoca_comch	doca_comch_consumer_cap_get_max_consumers	capability
libdoca_comch	doca_comch_consumer_cap_get_max_imm_data_len	capability
libdoca_comch	doca_comch_consumer_cap_get_max_num_tasks	capability
libdoca_comch	doca_comch_consumer_cap_is_supported	capability
libdoca_comch	doca_comch_consumer_completion_create	lifecycle
libdoca_comch	doca_comch_consumer_completion_destroy	lifecycle
libdoca_comch	doca_comch_consumer_completion_get_dpa_handle	query
libdoca_comch	doca_comch_consumer_completion_get_imm_data_len	query
libdoca_comch	doca_comch_consumer_completion_get_max_num_consumers	capability
libdoca_comch	doca_comch_consumer_completion_get_max_num_recv	capability
libdoca_comch	doca_comch_consumer_completion_set_dpa_thread	query
libdoca_comch	doca_comch_consumer_completion_set_imm_data_len	query
libdoca_comch	doca_comch_consumer_completion_set_max_num_consumers	query
libdoca_comch	doca_comch_consumer_completion_set_max_num_recv	query
libdoca_comch	doca_comch_consumer_completion_start	lifecycle
libdoca_comch	doca_comch_consumer_completion_stop	lifecycle
libdoca_comch	doca_comch_consumer_create	lifecycle
libdoca_comch	doca_comch_consumer_destroy	lifecycle
libdoca_comch	doca_comch_consumer_get_dpa_handle	query
libdoca_comch	doca_comch_consumer_get_id	query
libdoca_comch	doca_comch_consumer_get_imm_data_len	query
libdoca_comch	doca_comch_consumer_set_completion	query
libdoca_comch	doca_comch_consumer_set_dev_max_num_recv	query
libdoca_comch	doca_comch_consumer_set_imm_data_len	query
libdoca_comch	doca_comch_consumer_task_post_recv_alloc_init	submit
libdoca_comch	doca_comch_consumer_task_post_recv_as_task	submit
libdoca_comch	doca_comch_consumer_task_post_recv_get_buf	submit
libdoca_comch	doca_comch_consumer_task_post_recv_get_imm_data	submit
libdoca_comch	doca_comch_consumer_task_post_recv_get_imm_data_len	submit
libdoca_comch	doca_comch_consumer_task_post_recv_get_producer_id	submit
libdoca_comch	doca_comch_consumer_task_post_recv_set_buf	submit
libdoca_comch	doca_comch_consumer_task_post_recv_set_conf	submit
libdoca_comch	doca_comch_msgq_consumer_create	lifecycle
libdoca_comch	doca_comch_msgq_create	lifecycle
